Âge,Genre,Revenu Annuel,Indice Satisfaction,Type de Produit Préféré
44,Homme,58039.973967520076,8,Beauté
39,Homme,56446.27209110733,7,Alimentaire
35,Homme,44696.37089597153,2,Alimentaire
41,Femme,59956.437533627744,1,Vestimentaire
63,Homme,78710.48114883617,3,Électronique
42,Homme,72634.31490811922,1,Vestimentaire
25,Femme,87740.87980209177,6,Vestimentaire
57,Femme,35916.238048483836,9,Électronique
23,Femme,75932.76926291555,10,Beauté
50,Femme,32775.1126012655,8,Vestimentaire
35,Homme,39952.00378033386,4,Beauté
36,Femme,86404.7395913879,4,Électronique
26,Femme,68238.90193376102,2,Électronique
57,Femme,55052.113813411815,8,Beauté
24,Homme,25885.738434930332,8,Alimentaire
37,Femme,39342.00796484591,4,Électronique
27,Femme,63562.45964399045,1,Alimentaire
20,Femme,39280.031982761524,6,Électronique
31,Femme,32911.504571809746,2,Alimentaire
28,Femme,39780.209194667696,1,Électronique
24,Homme,65050.62927801947,1,Beauté
40,Homme,98710.89352333802,4,Beauté
29,Homme,95595.76376628233,1,Beauté
42,Homme,28113.0113150685,2,Vestimentaire
63,Homme,28684.29394512395,7,Vestimentaire
33,Homme,49758.18063870206,8,Électronique
36,Homme,42613.32676417773,3,Beauté
41,Femme,90151.89499396177,6,Beauté
60,Homme,48756.79069273862,2,Alimentaire
67,Homme,59757.68126764902,1,Alimentaire
58,Femme,20745.773432158625,8,Beauté
65,Femme,42327.4405642653,8,Vestimentaire
61,Femme,53931.565705356705,7,Vestimentaire
36,Homme,98767.0242990064,4,Électronique
52,Femme,55149.77921119983,9,Beauté
62,Homme,78344.70589047552,9,Beauté
32,Homme,46288.15584396076,10,Électronique
21,Femme,48340.307505983816,2,Vestimentaire
45,Femme,92897.28082605991,5,Électronique
41,Homme,70135.844819105,3,Beauté
39,Homme,92167.30426871663,10,Alimentaire
41,Femme,29816.137773270246,6,Vestimentaire
42,Femme,59633.32614268613,8,Beauté
28,Homme,20596.71152674552,7,Beauté
19,Femme,42581.40367330921,6,Alimentaire
33,Homme,95730.99607904136,10,Vestimentaire
66,Femme,23511.05861312422,1,Beauté
68,Homme,73512.45881172868,7,Alimentaire
43,Homme,73284.6794395118,9,Vestimentaire
24,Femme,71139.12566572109,2,Vestimentaire
28,Homme,33965.13070801037,5,Beauté
39,Homme,95596.57639254376,5,Vestimentaire
39,Femme,30135.443499364395,4,Alimentaire
47,Homme,63807.66113816025,2,Alimentaire
67,Homme,88114.21366563614,9,Beauté
